0.7766697382	apple
0.7764856088	horn
0.7749740338	ieee
0.7731467670	rna
0.7726575220	french
0.7717460952	pspace
0.7700218942	lms
0.7684980449	chinese
0.7679940698	modula
0.7676822023	laser
0.7669423444	cayley
0.7668011110	tv
0.7665952895	intel
0.7657264761	lambda
0.7652249964	pdp
0.7652163348	clause
0.7651534353	xerox
0.7642360609	administration
0.7638941470	phrase
0.7632669347	brown
0.7629393110	press
0.7624000007	acm
0.7616648905	stanford
0.7615622064	cryptography
0.7606864118	algol
0.7605854007	arm
0.7605666207	vax
0.7602279736	city
0.7598363742	abelian
0.7598138267	engine
0.7592867480	gamma
0.7591830403	ml
0.7590734248	cray
0.7590537552	post
0.7584610909	knapsack
0.7583200601	american
0.7579480069	delta
0.7574889048	oil
0.7574797494	hadamard
0.7570985963	iv
0.7570836281	boards
0.7568572030	german
0.7568085340	college
0.7564184488	japanese
0.7556964873	federal
0.7556111313	fir
0.7554490854	voronoi
0.7554131318	doppler
0.7553876347	abstracts
0.7550453359	modal
0.7550441835	viterbi
0.7549356671	mit
0.7549101636	cambridge
0.7548831440	black
0.7546635095	psychology
0.7544530344	school
0.7543824776	balancing
0.7542709985	mirror
0.7540602706	hessian
0.7539172216	bayesian
0.7532185229	urban
0.7527513225	linguistics
0.7526617035	prototyping
0.7526552389	spherical
0.7523850867	shop
0.7519572657	countable
0.7515557701	health
0.7512179134	wiener
0.7504860923	heart
0.7504438431	hoare
0.7500993903	radiation
0.7500043338	recurrence
0.7492012596	executive
0.7490862806	privacy
0.7488923223	chart
0.7488139985	equilibria
0.7485038253	telecommunications
0.7481683695	van
0.7479336419	transformational
0.7477423994	polar
0.7474534188	genetic
0.7473297314	lazy
0.7470615452	medicine
0.7470253098	greedy
0.7466892562	registration
0.7465498811	citation
0.7463233375	quantification
0.7458539060	residue
0.7453025477	cpu
0.7447787214	society
0.7444272506	particle
0.7444156619	defense
0.7438331568	bayes
0.7437110592	marginal
0.7434328560	dna
0.7432748824	beta
0.7428897530	mark
0.7427141823	crossbar
0.7424457038	commutative
0.7424457038	activation
0.7421777458	assisted
0.7420298045	publishing
0.7419801664	combinational
0.7419464063	sphere
0.7417991110	min
0.7408965773	corporate
0.7405367894	sciences
0.7404842666	company
0.7403896865	lie
0.7403296898	scan
